epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.44654,1.13386,0.57534,1,0.949,0.00024293,0.00024293,0.00024293
2,13.028,0.95725,0.54795,1,0.79159,0.000480344,0.000480344,0.000480344
3,19.3304,0.77577,0.68493,1,0.65238,0.000697386,0.000697386,0.000697386
4,25.8768,0.77313,0.68493,1,0.6915,0.000894057,0.000894057,0.000894057
5,32.3188,0.60021,0.76712,1,0.44562,0.00107036,0.00107036,0.00107036
6,38.409,0.56305,0.86301,1,0.33051,0.00114606,0.00114606,0.00114606
7,44.3458,0.4795,0.89041,1,0.25346,0.00108947,0.00108947,0.00108947
8,51.113,0.4801,0.86301,1,0.25341,0.00103288,0.00103288,0.00103288
9,57.8399,0.33152,0.87671,1,0.21559,0.000976293,0.000976293,0.000976293
10,64.9106,0.30028,0.91781,1,0.31501,0.000919704,0.000919704,0.000919704
11,72.0669,0.29842,0.91781,1,0.26309,0.000863116,0.000863116,0.000863116
12,80.6895,0.2607,0.9589,1,0.15153,0.000806528,0.000806528,0.000806528
13,89.5306,0.22992,0.93151,1,0.17487,0.000749939,0.000749939,0.000749939
14,98.4187,0.21276,0.94521,1,0.15715,0.000693351,0.000693351,0.000693351
15,105.501,0.25952,0.93151,1,0.12104,0.000636762,0.000636762,0.000636762
16,112.11,0.21417,0.93151,1,0.10528,0.000580174,0.000580174,0.000580174
17,118.364,0.20718,0.94521,1,0.13349,0.000523586,0.000523586,0.000523586
18,124.641,0.19768,0.93151,1,0.1626,0.000466997,0.000466997,0.000466997
19,131.222,0.2055,0.93151,1,0.23977,0.000410409,0.000410409,0.000410409
20,137.666,0.16252,0.91781,1,0.11483,0.00035382,0.00035382,0.00035382
21,144.366,0.17081,0.9589,1,0.08878,0.000297232,0.000297232,0.000297232
22,151.601,0.14007,0.94521,1,0.11332,0.000240644,0.000240644,0.000240644
23,158.958,0.19336,0.94521,1,0.09056,0.000184055,0.000184055,0.000184055
24,166.145,0.21172,0.94521,1,0.09392,0.000127467,0.000127467,0.000127467
25,172.388,0.12274,0.94521,1,0.18574,7.08784e-05,7.08784e-05,7.08784e-05
