epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.7,1.09458,0.5969,1,0.92432,0.00030009,0.00030009,0.00030009
2,92.1429,0.8764,0.5969,1,0.62755,0.000602303,0.000602303,0.000602303
3,133.026,0.74798,0.72868,1,0.84288,0.000892068,0.000892068,0.000892068
4,171.859,0.62907,0.77519,1,0.43732,0.00116938,0.00116938,0.00116938
5,219.12,0.56088,0.91473,1,0.24842,0.00131582,0.00131582,0.00131582
6,274.712,0.49473,0.96899,1,0.52442,0.00128753,0.00128753,0.00128753
7,319.939,0.38307,0.94574,1,0.16144,0.00125923,0.00125923,0.00125923
8,340.036,0.38221,0.97674,1,0.08803,0.00123094,0.00123094,0.00123094
9,356.497,0.31615,0.96124,1,0.07228,0.00120265,0.00120265,0.00120265
10,387.382,0.36144,0.96124,1,0.09812,0.00117435,0.00117435,0.00117435
11,429.89,0.23892,0.96124,1,0.06669,0.00114606,0.00114606,0.00114606
12,468.435,0.22885,0.94574,1,0.09925,0.00111776,0.00111776,0.00111776
13,508.192,0.24058,0.94574,1,0.07407,0.00108947,0.00108947,0.00108947
14,553.002,0.21213,0.94574,1,0.10499,0.00106118,0.00106118,0.00106118
15,595.478,0.18189,0.95349,1,0.06862,0.00103288,0.00103288,0.00103288
16,638.958,0.22453,0.93023,1,0.17807,0.00100459,0.00100459,0.00100459
17,662.533,0.25314,0.97674,1,0.04171,0.000976293,0.000976293,0.000976293
18,678.854,0.22072,0.99225,1,0.06112,0.000947999,0.000947999,0.000947999
19,697.853,0.15593,0.97674,1,0.04327,0.000919704,0.000919704,0.000919704
20,745.295,0.15858,0.97674,1,0.04962,0.00089141,0.00089141,0.00089141
21,787.328,0.16411,0.99225,1,0.05942,0.000863116,0.000863116,0.000863116
22,837.755,0.12134,0.99225,1,0.05011,0.000834822,0.000834822,0.000834822
23,879.315,0.15458,0.99225,1,0.04874,0.000806528,0.000806528,0.000806528
24,924.788,0.18351,0.9845,1,0.0469,0.000778233,0.000778233,0.000778233
25,969.584,0.18166,0.97674,1,0.0468,0.000749939,0.000749939,0.000749939
26,1016.63,0.18989,0.97674,1,0.06131,0.000721645,0.000721645,0.000721645
27,1063.19,0.15357,0.97674,1,0.08026,0.000693351,0.000693351,0.000693351
28,1110.17,0.14681,0.9845,1,0.0624,0.000665057,0.000665057,0.000665057
29,1156.24,0.1298,0.9845,1,0.04259,0.000636762,0.000636762,0.000636762
30,1199.54,0.1223,0.9845,1,0.03035,0.000608468,0.000608468,0.000608468
31,1243.25,0.13379,0.97674,1,0.0374,0.000580174,0.000580174,0.000580174
32,1290.57,0.10393,0.96899,1,0.0502,0.00055188,0.00055188,0.00055188
33,1339.1,0.11626,0.9845,1,0.03956,0.000523586,0.000523586,0.000523586
34,1387.07,0.34217,0.9845,1,0.04099,0.000495291,0.000495291,0.000495291
35,1442.76,0.127,0.9845,1,0.03528,0.000466997,0.000466997,0.000466997
36,1495.15,0.12512,0.9845,1,0.03578,0.000438703,0.000438703,0.000438703
37,1543.47,0.18844,0.9845,1,0.03708,0.000410409,0.000410409,0.000410409
38,1590.74,0.15099,0.9845,1,0.04001,0.000382115,0.000382115,0.000382115
39,1634.11,0.13549,0.9845,1,0.04631,0.00035382,0.00035382,0.00035382
40,1680.24,0.10155,0.9845,1,0.04276,0.000325526,0.000325526,0.000325526
41,1719.8,0.12385,0.9845,1,0.04383,0.000297232,0.000297232,0.000297232
42,1756.14,0.07077,0.96124,1,0.06797,0.000268938,0.000268938,0.000268938
43,1795.28,0.11393,0.96899,1,0.05895,0.000240644,0.000240644,0.000240644
44,1847.47,0.13857,0.9845,1,0.05231,0.000212349,0.000212349,0.000212349
45,1890.87,0.10425,0.9845,1,0.04361,0.000184055,0.000184055,0.000184055
46,1931.57,0.13358,0.9845,1,0.04433,0.000155761,0.000155761,0.000155761
47,1969.27,0.11595,0.9845,1,0.12164,0.000127467,0.000127467,0.000127467
48,2007.29,0.08404,0.9845,1,0.04007,9.91726e-05,9.91726e-05,9.91726e-05
49,2048.61,0.08218,0.9845,1,0.03724,7.08784e-05,7.08784e-05,7.08784e-05
50,2090.59,0.14453,0.99225,1,0.04618,4.25842e-05,4.25842e-05,4.25842e-05
